bname,cname,no_votes
Ballymun C2 1,Redmond,5
Finglas Nth B 1,Redmond,22
Finglas Nth B 2,Redmond,10
Finglas Nth B 3,Redmond,7
Finglas Nth A 1,Redmond,11
Finglas Nth A 2,Redmond,8
Finglas Nth A 3,Redmond,11
Finglas Nth C 1,Redmond,8
Finglas Nth C 2,Redmond,5
Finglas Nth C 3,Redmond,7
Ballymun F/Fing Nth C/Bmun F 1,Redmond,4
Ballymun F 1,Redmond,9
Ballymun F 2,Redmond,3
Finglas Sth A 1,Redmond,15
Finglas Sth A 2,Redmond,7
Finglas Sth A 3,Redmond,3
Cappagh/Ballycoolen 1,Redmond,1
Finglas Sth B 1,Redmond,7
Finglas Sth B 2,Redmond,5
Finglas Sth B 3,Redmond,11
Finglas Sth C 1,Redmond,6
Finglas Sth C 2,Redmond,6
Finglas Sth C 3,Redmond,6
Finglas Sth D 1,Redmond,2
Finglas Sth D 2,Redmond,23
Whitehall A1 1,Redmond,8
Whitehall A1/D1 1,Redmond,3
Whitehall D1 1,Redmond,0
Whitehall A2 1,Redmond,2
Whitehall A2 2,Redmond,2
Whitehall B1 1,Redmond,8
Whitehall B2 2,Redmond,4
Whitehall B2 3,Redmond,3
Whitehall B2 4,Redmond,2
Whitehall B2/C 1,Redmond,6
Whitehll C pt 1,Redmond,6
Airport 3 1,Redmond,4
Turnapin 1,Redmond,2
NorthWood/Santry 1,Redmond,0
Whitehall C pt 1,Redmond,1
Beaumont A 1,Redmond,5
Beaumont A 2,Redmond,6
Beaumont A/WH D2 1,Redmond,8
Whitehall D2 1,Redmond,3
Postal 1,Redmond,3
Ballygall A 1,Rock,24
Ballygall A 2,Rock,39
Ballygall A 3,Rock,37
Ballygall B 1,Rock,34
Ballygall B 2,Rock,61
Finglas Nth 1,Rock,19
Charlestwn 1,Rock,24
Lanesbro 1,Rock,22
Lanesbro 2,Rock,25
Ballygall C 1,Rock,94
Ballygall C 2,Rock,121
Ballygall C 3,Rock,111
Ballygall C/D 1,Rock,80
Ballygall D 1,Rock,83
Ballygall D 2,Rock,64
Ballymun A 1,Rock,10
Ballymun A 2,Rock,16
Ballymun A 3,Rock,25
Ballymun A/B 1,Rock,13
Ballymun B 1,Rock,9
Ballymun B 2,Rock,15
Ballymun B/D 1,Rock,5
Ballymun D 1,Rock,8
Ballymun D 2,Rock,6
Ballymun C1 1,Rock,5
